x_benzene,x_toluene,T,K_benzene,K_toluene,y_toluene,y_benzene
0.0,1.0,383.82928628258185,2.3489652470843803,1.000000000001229,1.000000000001229,0.0
0.05,0.95,381.5228109713204,2.2145589300127737,0.9360758457888051,0.8892720534993648,0.11072794650063869
0.1,0.9,379.3394162970721,2.0928150223719215,0.8785761086253492,0.7907184977628143,0.20928150223719216
0.15000000000000002,0.85,377.2693273825333,1.982182809265185,0.8266736218943824,0.702672578610225,0.2973274213897778
0.2,0.8,375.30368680618676,1.8813355284752917,0.7796661178811777,0.6237328943049422,0.3762671056950584
0.25,0.75,373.4344684352036,1.7891343216169477,0.7369552261276899,0.5527164195957674,0.44728358040423694
0.30000000000000004,0.7,371.65439673898794,1.7045983918522358,0.6980292606347466,0.48862048244432255,0.5113795175556708
0.35000000000000003,0.6499999999999999,369.9568722793841,1.6268802682331702,0.662449086335978,0.43059190611838566,0.5694080938816096
0.4,0.6,368.33590360881976,1.5552452678433275,0.6298364881044419,0.3779018928626651,0.622098107137331
0.45,0.55,366.78604549889405,1.4890544083499164,0.5998645749864415,0.32992551624254285,0.6700744837574624
0.5,0.5,365.302343227104,1.4277501582799588,0.5722498417200295,0.28612492086001473,0.7138750791399794
0.55,0.44999999999999996,363.88028253570224,1.3708445237259854,0.5467455821126714,0.2460355119507021,0.7539644880492921
0.6000000000000001,0.3999999999999999,362.51574481912314,1.317909061703839,0.5231364074442263,0.20925456297769046,0.7907454370223035
0.65,0.35,361.2049670767179,1.2685664852378513,0.5012336702725793,0.17543178459540273,0.8245682154046033
0.7000000000000001,0.29999999999999993,359.94450617238545,1.2224835862862997,0.48087163199863603,0.1442614895995908,0.8557385104004099
0.75,0.25,358.7312069627513,1.1793652523054605,0.4619042430836024,0.1154760607709006,0.8845239392290953
0.8,0.19999999999999996,357.56217388432816,1.1389493926583134,0.44420242936678145,0.08884048587335627,0.9111595141266507
0.8500000000000001,0.1499999999999999,356.4347456231708,1.1010026239366284,0.4276517976926527,0.06414776965389787,0.9358522303461342
0.9,0.09999999999999998,355.3464725250274,1.0653165900024097,0.4121506899789312,0.04121506899789311,0.9587849310021688
0.9500000000000001,0.04999999999999993,354.2950964379865,1.0317048143312526,0.39760852770773414,0.01988042638538668,0.98011957361469
1.0,0.0,353.27853271205527,1.0000000000001368,0.38394439921422124,0.0,1.0000000000001368
